AAG ORDER NUMBER,CUSTOMER NAME,ORDER DATE PO RECEIVED,CUSTOMER ALT PO,AAG SEASON,CUSTOMER SEASON,DROP,MONTH,RANGE / COLLECTION,PROMO GROUP / CAMPAIGN (HOT 30/GLOBAL EDIT,CATEGORY,PATTERN ID,MAKE OR BUY,PLANNER,ORIGINAL ALIAS/RELATED ITEM,PRICING ALIAS/RELATED ITEM,ALIAS/RELATED ITEM,CUSTOMER STYLE,CUSTOMER''S COLOUR CODE (CUSTOM FIELD) CUSTOMER PROVIDES THIS,ACTIVE,All,Multiple Items,FACILITY CODE,BULK AGREEMENT NUMBER,Sum of TOTAL QTY,BULK AGREEMENT DESCRIPTION,CUSTOMER CODE,CO NUMBER - INITIAL DISTRO,CO NUMBER (INITIAL DISTRO),CO NUMBER (ALLOCATION DISTRO),CO NUMBER - ALLOCATION DISTRO,PO NUMBER,AAG SEASON CODE,INFOR MAKE/BUY CODE,PLANNER2,ITEM TYPE CODE,INFOR ITEM TYPE CODE,PRODUCT GROUP CODE,MAKE/BUY CODE,INFOR PRODUCT GROUP CODE,ITEM GROUP CODE,STYLE DESCRIPTION,INFOR ITEM GROUP CODE,GENDER GROUP CODE,INFOR GENDER GROUP CODE,FABRIC TYPE CODE,INFOR FABRIC TYPE CODE,CUSTOMER COLOUR DESCRIPTION,UNIT OF MEASURE,INFOR COLOUR CODE,XXXS,XXS,XS,S,S/M,M,M/L,L,L/XL,XL,XXL,XXXL,0,2,4,6,8,10,12,14,16,18,20,0-3M,3-6M,6-9M,9-12M,12-18M,18-24M,2T,3T,4T,5T,6T,30/30,30/32,32/30,32/32,34/30,34/32,36/30,36/32,32C,32D,32DD,34C,34D,34DD,36C,36D,36DD,OS,ONE SIZE,0w,10w,12w,1X,2/3,22,24,26,27,28,28-30L,29,2w,2X,2XL,30,30-30L,30-31L,30-32L,30X30,31,31/30,31/32,31-30L,31-31L,31-32L,31X30,32,32/34,32/36,32-30L,32-31L,32-32L,32DDD,32X30,33,33/30,33/32,33-30L,33-31L,33-32L,34,34/34,34-30L,34-31L,34-32L,34DDD,34X30,35,35/30,35/32,35-30L,35-31L,35-32L,36,36/34,36-30L,36-31L,36-32L,36DDD,36X30,38,38/30,38/32,38/34,38/36,38-30L,38-31L,38-32L,38C,38D,38DD,38DDD,38X30,3X,3XL,4/5,40,40/30,40/32,40-30L,40-31L,40X30,42,44,46,48,4w,4X,4XL,4XT,5,50,52,54,56,58,6/7,60,6w,7,8w,9,L(10-12),L(14-16),M(10-12),M(8-10),S(6-8),TOTAL QTY,ORDER TYPE,DESTINATION,DESTINATION WAREHOUSE,ALLOCATION (CHANNEL),SHOP NAME,COLLECTION DELIVERY,SHOP CODE,TRACKING NUMBER,ETA CUSTOMER WAREHOUSE DATE,EX FACTORY DATE,DELIVERY TERMS,PLANNED DELIVERY METHOD,DELIVERY CODE (MODL),NOTES,VALIDATION,VALIDATION2,VALIDATION3,VALIDATION4,CUSTOMER PRICE,USA ONLY LSTP 75% EX WORKS,EX WORKS (USD),ADMINISTRATION FEE,DESIGN FEE,FX CHARGE,HANDLING,PNP,SURCHARGE FEE,DISCOUNT,FINAL FOB (USD),HS CODE,US DUTY RATE,US DUTY,FREIGHT,US TARIFF RATE,US TARIFF,DDP US (USD),UK DUTY RATE,UK FREIGHT,UK INSURANCE,UK CIF,UK DUTY,DDP UK (USD),CAN DUTY RATE,CAN DUTY,DDP CAN (USD),SMS PRICE USD,FINAL PRICES Y/N,NOTES FOR PRICE,PRICING NOTES,Delta,Warehouse,ORTP (ORDER TYPE),Longson Alias,BUAR (BUSINESS AREA UNIT),ADID,record_uuid
GRE-00022,GREYSON CLOTHIERS,,,,2022 CLASSICS,,,,,,,MANUFACTURED,,,,,MCLSCB01,,,,,,,,,,,,,,2574,,,,,,,,,,MONTAUK TROUSER,,,,,,100 - ARCTIC,PCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,37,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,10,,,,,,,,,34,,,,,24,,,,,,,,75,,,,,9,,,,,,,,19,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,ACTIVE,"WHIPLASH, OH",,,,,,,,1/05/2022 0:00,DDP,SEA,,Added 22.2.22 destination updated 25.3.22,2574MCLSCB01100 - ARCTIC302,,,,,20.76,27.68,0.2,,0.61,0.1,,,,28.59,,0,0,,0.075,1.56,30.15,,,,,,,,,,60.3,,,,,,,,,,1EB3D63C-F110-4C3C-A144-FE5DD6B3ED9C
GRE-00023,GREYSON CLOTHIERS,,,,2022 CLASSICS,,,,,,,MANUFACTURED,,,,,MCLSCB01,,,,,,,,,,,,,,2574,,,,,,,,,,MONTAUK TROUSER,,,,,,261 - RIVERSTONE,PCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213,ACTIVE,"WHIPLASH, OH",,,,,,,,1/05/2022 0:00,DDP,AIR,,"Added 21.10.21 QTY, SHIP MODE UPDATED 22.2.22 destination updated 25.3.22",2574MCLSCB01261 - RIVERSTONE213,,,,,20.76,27.68,0.2,,0.61,0.1,,,,28.59,,0,0,,0.075,1.56,30.15,,,,,,,,,,60.3,,,,,,,,,,385D9A43-59B4-4016-AB27-9F6C982CF572
GRE-00024,GREYSON CLOTHIERS,,,,2022 CLASSICS,,,,,,,MANUFACTURED,,,,,MCLSCB01,,,,,,,,,,,,,,2574,,,,,,,,,,MONTAUK TROUSER,,,,,,261 - RIVERSTONE,PCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,58,,53,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,,,16,,,,,,,,,95,,,,,59,,,,,,,,132,,,,,21,,,,,,,,95,,,,,,,,,,,,,,,,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,787,ACTIVE,"WHIPLASH, OH",,,,,,,,1/05/2022 0:00,DDP,SEA,,Added 22.2.22 destination updated 25.3.22,2574MCLSCB01261 - RIVERSTONE787,,,,,20.76,27.68,0.2,,0.61,0.1,,,,28.59,,0,0,,0.075,1.56,30.15,,,,,,,,,,60.3,,,,,,,,,,D43125CF-F61A-46CF-8134-8517BBE64FD8
GRE-00025,GREYSON CLOTHIERS,,,,2022 CLASSICS,,,,,,,MANUFACTURED,,,,,MCLSCB01,,,,,,,,,,,,,,2574,,,,,,,,,,MONTAUK TROUSER,,,,,,417 - MALTESE BLUE,PCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,100,,100,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,100,,,,,25,,,,,,,,100,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656,ACTIVE,"WHIPLASH, OH",,,,,,,,1/05/2022 0:00,DDP,AIR,,"Added 21.10.21 QTY, SHIP MODE UPDATED 22.2.22 destination updated 25.3.22",2574MCLSCB01417 - MALTESE BLUE656,,,,,20.76,27.68,0.2,,0.61,0.1,,,,28.59,,0,0,,0.075,1.56,30.15,,,,,,,,,,60.3,,,,,,,,,,083203D1-D029-45A7-89F4-58749AB3C7DC
GRE-00026,GREYSON CLOTHIERS,,,,2022 CLASSICS,,,,,,,MANUFACTURED,,,,,MCLSCB01,,,,,,,,,,,,,,2574,,,,,,,,,,MONTAUK TROUSER,,,,,,417 - MALTESE BLUE,PCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,,329,,284,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,,,,,,62,,,,,,,,,122,,,,,87,,,,,,,,273,,,,,69,,,,,,,,122,,,,,,,,,,,,,,,,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1844,ACTIVE,"WHIPLASH, OH",,,,,,,,1/05/2022 0:00,DDP,SEA,,Added 22.2.22 destination updated 25.3.22,2574MCLSCB01417 - MALTESE BLUE1844,,,,,20.76,27.68,0.2,,0.61,0.1,,,,28.59,,0,0,,0.075,1.56,30.15,,,,,,,,,,60.3,,,,,,,,,,BD4C17AD-193C-451A-AFAF-FEB2242A2DDD
GRE-00027,GREYSON CLOTHIERS,,,,2022 CLASSICS,,,,,,,MANUFACTURED,,,,,MCLSCB01,,,,,,,,,,,,,,2574,,,,,,,,,,MONTAUK TROUSER,,,,,,476 - WOLF BLUE,PCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,40,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,ACTIVE,"WHIPLASH, OH",,,,,,,,1/05/2022 0:00,DDP,AIR,,"Added 21.10.21 QTY, SHIP MODE UPDATED 22.2.22 destination updated 25.3.22",2574MCLSCB01476 - WOLF BLUE180,,,,,20.76,27.68,0.2,,0.61,0.1,,,,28.59,,0,0,,0.075,1.56,30.15,,,,,,,,,,60.3,,,,,,,,,,EBE06A56-83CE-4EB3-8C49-EBD9B301E511
GRE-00028,GREYSON CLOTHIERS,,,,2022 CLASSICS,,,,,,,MANUFACTURED,,,,,MCLSCB01,,,,,,,,,,,,,,2574,,,,,,,,,,MONTAUK TROUSER,,,,,,476 - WOLF BLUE,PCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,52,,52,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,15,,,,,,,,,27,,,,,27,,,,,,,,49,,,,,16,,,,,,,,41,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416,ACTIVE,"WHIPLASH, OH",,,,,,,,1/05/2022 0:00,DDP,SEA,,Added 22.2.22 destination updated 25.3.22,2574MCLSCB01476 - WOLF BLUE416,,,,,20.76,27.68,0.2,,0.61,0.1,,,,28.59,,0,0,,0.075,1.56,30.15,,,,,,,,,,60.3,,,,,,,,,,62B6E1F9-F539-451D-A5FD-26D0948BA6AB
GRE-00029,GREYSON CLOTHIERS,,,,2022 CLASSICS,,,,,,,MANUFACTURED,,,,,MCLSCB01-30,,,,,,,,,,,,,,2574,,,,,,,,,,MONTAUK TROUSER - 30 INSEAM,,,,,,001 - SHEPHERD,PCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,38,,47,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,17,,,,,,,,,,,,,11,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,ACTIVE,"WHIPLASH, OH",,,,,,,,1/05/2022 0:00,DDP,SEA,,Added 21.10.21 SHIP MODE UPDATED 22.2.22 destination updated 25.3.22,2574MCLSCB01-30001 - SHEPHERD187,,,,,20.76,27.68,0.2,,0.61,0.1,,,,28.59,,0,0,,0.075,1.56,30.15,,,,,,,,,,60.3,,,,,,,,,,0675F640-408C-48E0-BC33-F9797C9EACC6
GRE-00030,GREYSON CLOTHIERS,,,,2022 CLASSICS,,,,,,,MANUFACTURED,,,,,MCLSCB01-30,,,,,,,,,,,,,,2574,,,,,,,,,,MONTAUK TROUSER - 30 INSEAM,,,,,,030 - STINGRAY,PCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,38,,48,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,18,,,,,,,,,,,,,12,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,ACTIVE,"WHIPLASH, OH",,,,,,,,1/05/2022 0:00,DDP,SEA,,Added 21.10.21 SHIP MODE UPDATED 22.2.22 destination updated 25.3.22,2574MCLSCB01-30030 - STINGRAY190,,,,,20.76,27.68,0.2,,0.61,0.1,,,,28.59,,0,0,,0.075,1.56,30.15,,,,,,,,,,60.3,,,,,,,,,,C88EFB5C-1F4C-4BE0-BC97-541EB80DBC56
GRE-00031,GREYSON CLOTHIERS,,,,2022 CLASSICS,,,,,,,MANUFACTURED,,,,,MCLSCB01-30,,,,,,,,,,,,,,2574,,,,,,,,,,MONTAUK TROUSER - 30 INSEAM,,,,,,055 - SLATE,PCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,36,,46,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,19,,,,,,,,,,,,,13,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188,ACTIVE,"WHIPLASH, OH",,,,,,,,1/05/2022 0:00,DDP,SEA,,Added 21.10.21 SHIP MODE UPDATED 22.2.22 destination updated 25.3.22,2574MCLSCB01-30055 - SLATE188,,,,,20.76,27.68,0.2,,0.61,0.1,,,,28.59,,0,0,,0.075,1.56,30.15,,,,,,,,,,60.3,,,,,,,,,,DEB44B10-0FF6-400C-BEE9-7E5F55B42839
GRE-00032,GREYSON CLOTHIERS,,,,2022 CLASSICS,,,,,,,MANUFACTURED,,,,,MCLSCB01-30,,,,,,,,,,,,,,2574,,,,,,,,,,MONTAUK TROUSER - 30 INSEAM,,,,,,060 - EEL,PCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,38,,48,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,17,,,,,,,,,,,,,11,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,ACTIVE,"WHIPLASH, OH",,,,,,,,1/05/2022 0:00,DDP,SEA,,Added 21.10.21 SHIP MODE UPDATED 22.2.22 destination updated 25.3.22,2574MCLSCB01-30060 - EEL189,,,,,20.76,27.68,0.2,,0.61,0.1,,,,28.59,,0,0,,0.075,1.56,30.15,,,,,,,,,,60.3,,,,,,,,,,1FDB7871-9B45-4CE8-86DB-CF4839E6FEAB
GRE-00033,GREYSON CLOTHIERS,,,,2022 CLASSICS,,,,,,,MANUFACTURED,,,,,MCLSCB01-30,,,,,,,,,,,,,,2574,,,,,,,,,,MONTAUK TROUSER - 30 INSEAM,,,,,,100 - ARCTIC,PCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,39,,47,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,18,,,,,,,,,,,,,12,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191,ACTIVE,"WHIPLASH, OH",,,,,,,,1/05/2022 0:00,DDP,SEA,,Added 21.10.21 SHIP MODE UPDATED 22.2.22 destination updated 25.3.22,2574MCLSCB01-30100 - ARCTIC191,,,,,20.76,27.68,0.2,,0.61,0.1,,,,28.59,,0,0,,0.075,1.56,30.15,,,,,,,,,,60.3,,,,,,,,,,76B1962F-2FC6-4423-AC42-89B9726A25EE
GRE-00034,GREYSON CLOTHIERS,,,,2022 CLASSICS,,,,,,,MANUFACTURED,,,,,MCLSCB01-30,,,,,,,,,,,,,,2574,,,,,,,,,,MONTAUK TROUSER - 30 INSEAM,,,,,,261 - RIVERSTONE,PCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,38,,47,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,17,,,,,,,,,,,,,11,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,ACTIVE,"WHIPLASH, OH",,,,,,,,1/05/2022 0:00,DDP,SEA,,Added 21.10.21 SHIP MODE UPDATED 22.2.22 destination updated 25.3.22,2574MCLSCB01-30261 - RIVERSTONE187,,,,,20.76,27.68,0.2,,0.61,0.1,,,,28.59,,0,0,,0.075,1.56,30.15,,,,,,,,,,60.3,,,,,,,,,,2A7B484F-4086-4012-8630-2E0BBF25809D
GRE-00035,GREYSON CLOTHIERS,,,,2022 CLASSICS,,,,,,,MANUFACTURED,,,,,MCLSCB01-30,,,,,,,,,,,,,,2574,,,,,,,,,,MONTAUK TROUSER - 30 INSEAM,,,,,,417 - MALTESE BLUE,PCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,20,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,ACTIVE,"WHIPLASH, OH",,,,,,,,1/05/2022 0:00,DDP,AIR,,"Added 21.10.21 QTY, SHIP MODE UPDATED 22.2.22 destination updated 25.3.22",2574MCLSCB01-30417 - MALTESE BLUE100,,,,,20.76,27.68,0.2,,0.61,0.1,,,,28.59,,0,0,,0.075,1.56,30.15,,,,,,,,,,60.3,,,,,,,,,,B12513AB-A63B-4C5C-B22A-37E71BD9BD2D
GRE-00036,GREYSON CLOTHIERS,,,,2022 CLASSICS,,,,,,,MANUFACTURED,,,,,MCLSCB01-30,,,,,,,,,,,,,,2574,,,,,,,,,,MONTAUK TROUSER - 30 INSEAM,,,,,,417 - MALTESE BLUE,PCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,60,,67,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,16,,,,,,,,,,,,,17,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291,ACTIVE,"WHIPLASH, OH",,,,,,,,1/05/2022 0:00,DDP,SEA,,Added 22.2.22 destination updated 25.3.22,2574MCLSCB01-30417 - MALTESE BLUE291,,,,,20.76,27.68,0.2,,0.61,0.1,,,,28.59,,0,0,,0.075,1.56,30.15,,,,,,,,,,60.3,,,,,,,,,,A212EA97-4476-44F4-B253-02CEAB98F1A6
GRE-00037,GREYSON CLOTHIERS,,,,2022 CLASSICS,,,,,,,MANUFACTURED,,,,,MCLSCB01-30,,,,,,,,,,,,,,2574,,,,,,,,,,MONTAUK TROUSER - 30 INSEAM,,,,,,476 - WOLF BLUE,PCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,20,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,ACTIVE,"WHIPLASH, OH",,,,,,,,1/05/2022 0:00,DDP,AIR,,"Added 21.10.21 QTY, SHIP MODE UPDATED 22.2.22 destination updated 25.3.22",2574MCLSCB01-30476 - WOLF BLUE100,,,,,20.76,27.68,0.2,,0.61,0.1,,,,28.59,,0,0,,0.075,1.56,30.15,,,,,,,,,,60.3,,,,,,,,,,A67BC940-066E-406D-96E9-FDC1CA65F064
GRE-00038,GREYSON CLOTHIERS,,,,2022 CLASSICS,,,,,,,MANUFACTURED,,,,,MCLSCB01-30,,,,,,,,,,,,,,2574,,,,,,,,,,MONTAUK TROUSER - 30 INSEAM,,,,,,476 - WOLF BLUE,PCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,60,,67,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,16,,,,,,,,,,,,,17,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291,ACTIVE,"WHIPLASH, OH",,,,,,,,1/05/2022 0:00,DDP,SEA,,Added 22.2.22 destination updated 25.3.22,2574MCLSCB01-30476 - WOLF BLUE291,,,,,20.76,27.68,0.2,,0.61,0.1,,,,28.59,,0,0,,0.075,1.56,30.15,,,,,,,,,,60.3,,,,,,,,,,240A0389-B26E-45C9-9F77-BAD366E044DB
GRE-00039,GREYSON CLOTHIERS,,,,2023 SPRING,,,,,,,MANUFACTURED,,,,,YSP23B20,,,,,,,,,,,,,,2849,,,,,,,,,,YOUTH MONTAUK SHORT,,,,,,461 - HERON,PCE,,,,,,,,,,,,,,,,32,33,34,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,30,,,,,,,,180,ACTIVE,"WHIPLASH, OH",,,,,,,5/01/2023 0:00,14/10/2022 0:00,DDP,SEA,,Added 18.5.22 quantities updated 10.6.22 exfty updated 14.7.22 ship mode updated 20.9.22,2849YSP23B20461 - HERON180,,,,,12.37,16.49,0.2,,0.61,0.1,,,,17.4,6103.43.15.50,0.282,3.49,,0.075,0.93,21.82,,,,,,,,,,43.64,Y,Michelle W Checked 25.10.22,,,,,,,,E5D7A08C-EDFD-4D36-8215-2C0C118F79C8
GRE-00040,GREYSON CLOTHIERS,,,,2023 SPRING,,,,,,,MANUFACTURED,,,,,YSP23B20,,,,,,,,,,,,,,2849,,,,,,,,,,YOUTH MONTAUK SHORT,,,,,,385 - ORCA,PCE,,,,,,,,,,,,,,,,32,33,34,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,30,,,,,,,,180,ACTIVE,"WHIPLASH, OH",,,,,,,5/01/2023 0:00,14/10/2022 0:00,DDP,SEA,,Added 18.5.22 quantities updated 10.6.22 exfty updated 14.7.22 ship mode updated 20.9.22,2849YSP23B20385 - ORCA180,,,,,12.37,16.49,0.2,,0.61,0.1,,,,17.4,6103.43.15.50,0.282,3.49,,0.075,0.93,21.82,,,,,,,,,,43.64,Y,Michelle W Checked 25.10.22,,,,,,,,C673DC79-6BBC-4811-8BBB-DE74248B04C9
GRE-00041,GREYSON CLOTHIERS,,,,2023 SPRING,,,,,,,MANUFACTURED,,,,,YSP23B20,,,,,,,,,,,,,,2878,,,,,,,,,,YOUTH MONTAUK SHORT,,,,,,413 - ABYSS,PCE,,,,,,,,,,,,,,,,27,44,36,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,41,,,,,,,,200,ACTIVE,"WHIPLASH, OH",,,,,,,5/02/2023 0:00,25/11/2022 0:00,DDP,SEA,,Added 27.5.22 exfty updated 15.7.22 UPDATED SHIPPING METHOD 6.10.22,2878YSP23B20413 - ABYSS200,,,,,12.38,16.5,0.2,,0.61,0.1,,,,17.41,6103.43.15.50,0.282,3.49,,0.075,0.93,21.83,,,,,,,,,,43.66,Y,SHIRLEY CHECKED 28.10.22,,,,,,,,FAE1810D-65EE-4180-8720-0D8D8E71DEF2
GRE-00042,GREYSON CLOTHIERS,,,,2022 CRUISE,,,,,,,MANUFACTURED,,,,,YSP23B20,,,,,,,,,,,,,,2716,,,,,,,,,,YOUTH MONTAUK SHORT,,,,,,438 - SKYSTONE,PCE,,,,,,,,,,,,,,,,42,44,46,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,40,,,,,,,,240,ACTIVE,USA-MSL,,,,,,,5/10/2022 0:00,8/07/2022 0:00,DDP,AIR/SEA SPLIT,,Added 23.2.22 exfty updated 8.6.22,2716YSP23B20438 - SKYSTONE240,,,,,12.38,16.5,0.2,,0.61,0.1,,,,17.41,6103.43.15.50,0.282,3.49,,0.075,0.93,21.83,,,,,,,,,,43.66,Y,SHIRLEY CHECKED 15.11.22,,,,,,,,33E3D4E7-B448-42F0-AA08-3F696BCC2C70
GRE-00043,GREYSON CLOTHIERS,,,,2022 FALL,,,,,,,MANUFACTURED,,,,,YFA22B20,,,,,,,,,,,,,,2801,,,,,,,,,,YOUTH MONTAUK SHORT,,,,,,417 - MALTESE BLUE,PCE,,,,,,,,,,,,,,,,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,10,,,,,,,,42,ACTIVE,"WHIPLASH, OH",,,,,,,,22/07/2022 0:00,DDP,AIR,,Added 18.4.22 qty & ship mode updated 6.6.22 exfty updated 8.6.22,2801YFA22B20417 - MALTESE BLUE42,,,,,13.03,17.37,0.2,,0.61,0.1,,,,18.28,6103.43.15.70,0.282,3.67,,0.075,0.98,22.93,,,,,,,,,,45.86,Y,SHIRLEY CHECKED 14.11.22,,,,,,,,84189EA9-C654-42D8-A189-BDC35A5BDEE8
GRE-00044,GREYSON CLOTHIERS,,,,2022 FALL,,,,,,,MANUFACTURED,,,,,YFA22B20,,,,,,,,,,,,,,2801,,,,,,,,,,YOUTH MONTAUK SHORT,,,,,,417 - MALTESE BLUE,PCE,,,,,,,,,,,,,,,,7,10,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,10,,,,,,,,58,ACTIVE,"WHIPLASH, OH",,,,,,,,22/07/2022 0:00,DDP,SEA,,Added 6.6.22 exfty updated 8.6.22,2801YFA22B20417 - MALTESE BLUE58,,,,,13.03,17.37,0.2,,0.61,0.1,,,,18.28,6103.43.15.70,0.282,3.67,,0.075,0.98,22.93,,,,,,,,,,45.86,Y,SHIRLEY CHECKED 14.11.22,,,,,,,,E949DE41-DCB6-4617-B1D4-3244BA0F8307
